"term_id";"parent_id";"term_name_ES";"term_name_CA";"term_description_ES";"term_description_CA"
1;;"1. Fin de la pobreza";"1. Fi de la pobresa";"Poner fin a la pobreza en todas sus formas y en todo el mundo";"Erradicar la pobresa a tot el món i en totes les seves formes"
2;;"2. Hambre cero";"2. Fam zero";"Poner fin al hambre, lograr la seguridad alimentaria y la mejora de la nutrición y promover la agricultura sostenible";"Posar fi a la fam, assolir la seguretat alimentària i la millora de la nutrició, i promoure l’agricultura sostenible"
3;;"3. Salud y bienestar";"3. Salut i benestar";"Garantizar una vida sana y promover el bienestar de todos a todas las edades";"Garantir una vida sana i promoure el benestar per a totes les persones a totes les edats "
4;;"4. Educación de calidad";"4. Educació de qualitat";"Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanente para todos";"Garantir una educació inclusiva, equitativa i de qualitat i promoure oportunitats d’aprenentatge durant tota la vida per a tothom"
5;;"5. Igualdad de género";"5. Igualtat de gènere";"Lograr la igualdad de género y empoderar a todas las mujeres y las niñas";"Aconseguir la igualtat de gènere i apoderar totes les dones i nenes"
6;;"6. Agua limpia y saneamiento";"6. Aigua neta i sanejament";"Garantizar la disponibilidad y la gestión sostenible del agua y el saneamiento para todos";"Garantir la disponibilitat i una gestió sostenible de l’aigua i el sanejament per a totes les persones"
7;;"7. Energía asequible y no contaminante";"7. Energia neta i assequible";"Garantizar el acceso a una energía asequible, fiable, sostenible y moderna para todos";"Garantir l’accés a una energia assequible, segura, sostenible i moderna per a totes les persones"
8;;"8. Trabajo decente y crecimiento económico";"8. Treball digne i creixement econòmic";"Promover el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos";"Promoure el creixement econòmic sostingut, inclusiu i sostenible, l’ocupació plena i productiva i el treball digne per a tothom"
9;;"9. Industria, innovación e infraestructura";"9. Indústria, innovació i infraestructures";"Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación";"Construir infraestructures resilients, promoure la industrialització inclusiva i sostenible i fomentar la innovació"
10;;"10. Reducción de las desigualdades";"10. Reducció de les desigualtats";"Reducir la desigualdad en los países y entre ellos";"Aconseguir que les ciutats i els assentaments humans siguin inclusius, segurs, resilients i sostenibles"
11;;"11. Ciudades y comunidades sostenibles";"11. Ciutats i comunitats sostenibles";"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles";"Reduir la desigualtat en i entre els països"
12;;"12. Producción y consumo responsables";"12. Consum i producció responsables";"Garantizar modalidades de consumo y producción sostenibles";"Garantir modalitats de consum i producció sostenibles"
13;;"13. Acción por el clima";"13. Acció climàtica";"Adoptar medidas urgentes para combatir el cambio climático y sus efectos2";"Adoptar mesures urgents per a combatre el canvi climàtic i els efectes d’aquest "
