;AJUNTAMENT;MATARÓ AUDIOVISUAL;C.DIGITAL MATARÓ-MARESME;CONSORCI TR. RESIDUS;PUMSA;GRUP TECNOCAMPUS;AMSA;DEUTE FCC;PORTA LAIETANA;ALTRES (PIE, MESSA);TOTAL ENDEUTAMENT GRUP;TOTAL DEUTE VIU;RATI DEUTE VIU;
2010;98,38;0,06;0,98;;100,41;47,67;8,00;27,51;15,46;6,68;305,16;123,84;110,15%;
2011;89,09;;0,89;;95,53;47,99;8,07;30,82;15,95;14,64;302,96;119,43;110,45%;
2012;109,15;;0,57;;56,82;45,76;7,12;21,66;16,5;12,82;270,40;109,83;99,31%;
2013;107,74;;0,44;;54,33;43,99;7,46;21,66;13,49;12,57;261,68;108,23;94,79%;
2014;106,63;;0,32;;51,18;41,16;7,98;14,22;13,35;11,05;245,89;106,96;90,72%;
2015;94,81;;0,20;;46,54;37,87;10,50;11,38;13,40;8,51;223,20;95,01;77,03%;
2016;86,2;;0,07;;41,53;35,13;9,69;8,54;13,26;6,63;201,05;127,8;99,91%;
2017;80,77;;;;34,66;32,24;8,57;5,69;13,26;6,19;181,38;115,43;86,33%;
2018;78,34;;;;27,58;29,26;12,48;2,85;;5,75;156,26;105,92;76,84%;
2019;79,2;;;23,3;21,68;26,27;10,09;;;5,41;165,95;124,18;75,46%;
2020;80,50;;;10,36;18,25;26,53;11,18;;;4,86;151,69;109,12;64,18%;
2021;82,42;;;5,35;14,66;24,66;12,2;;;4,42;143,71;102,43;60,32%;
