seccion,distrito,rango_edad,sexo,nacionalidad,formacion,total
2,1,0 - 4,Hombre,Extranjero,Menores de 16,1
2,1,0 - 4,Mujer,Extranjero,Menores de 16,3
2,1,0 - 4,Hombre,Extranjero,Menores de 16,1
3,1,0 - 4,Mujer,Extranjero,Menores de 16,1
4,1,0 - 4,Hombre,Extranjero,Menores de 16,1
4,1,0 - 4,Mujer,Extranjero,Menores de 16,1
4,1,0 - 4,Mujer,Extranjero,Menores de 16,1
4,1,0 - 4,Hombre,Extranjero,Menores de 16,1
5,1,0 - 4,Mujer,Extranjero,Menores de 16,1
5,1,0 - 4,Hombre,Extranjero,Menores de 16,1
5,1,0 - 4,Mujer,Extranjero,Menores de 16,1
5,1,0 - 4,Hombre,Extranjero,Menores de 16,1
5,1,0 - 4,Hombre,Extranjero,Menores de 16,2
5,1,0 - 4,Mujer,Extranjero,Menores de 16,1
5,1,0 - 4,Mujer,Extranjero,Menores de 16,1
6,1,0 - 4,Mujer,Extranjero,Menores de 16,1
6,1,0 - 4,Hombre,Extranjero,Menores de 16,1
7,1,0 - 4,Hombre,Extranjero,Menores de 16,1
7,1,0 - 4,Hombre,Extranjero,Menores de 16,1
8,1,0 - 4,Hombre,Extranjero,Menores de 16,1
8,1,0 - 4,Hombre,Extranjero,Menores de 16,1
8,1,0 - 4,Hombre,Extranjero,Menores de 16,1
8,1,0 - 4,Mujer,Extranjero,Menores de 16,1
9,1,0 - 4,Mujer,Extranjero,Menores de 16,1
9,1,0 - 4,Mujer,Extranjero,Menores de 16,1
9,1,0 - 4,Mujer,Extranjero,Menores de 16,1
10,1,0 - 4,Mujer,Extranjero,Menores de 16,1
10,1,0 - 4,Hombre,Extranjero,Menores de 16,1
10,1,0 - 4,Mujer,Extranjero,Menores de 16,1
10,1,0 - 4,Hombre,Extranjero,Menores de 16,1
10,1,0 - 4,Mujer,Extranjero,Menores de 16,1
11,1,0 - 4,Mujer,Extranjero,Menores de 16,1
11,1,0 - 4,Hombre,Extranjero,Menores de 16,1
12,1,0 - 4,Mujer,Extranjero,Menores de 16,1
12,1,0 - 4,Mujer,Extranjero,Menores de 16,1
12,1,0 - 4,Mujer,Extranjero,Menores de 16,1
12,1,0 - 4,Mujer,Extranjero,Menores de 16,1
13,1,0 - 4,Hombre,Extranjero,Menores de 16,1
14,1,0 - 4,Mujer,Extranjero,Menores de 16,1
14,1,0 - 4,Mujer,Extranjero,Menores de 16,2
15,1,0 - 4,Hombre,Extranjero,Menores de 16,1
15,1,0 - 4,Mujer,Extranjero,Menores de 16,1
16,1,0 - 4,Hombre,Extranjero,Menores de 16,1
16,1,0 - 4,Mujer,Extranjero,Menores de 16,1
17,1,0 - 4,Hombre,Extranjero,Menores de 16,1
17,1,0 - 4,Hombre,Extranjero,Menores de 16,1
17,1,0 - 4,Mujer,Extranjero,Menores de 16,2
18,1,0 - 4,Hombre,Extranjero,Menores de 16,1
