functional_code,name,primary_ods,secondary_ods_1,secondary_ods_2,secondary_ods_3,secondary_ods_4,amount,primary_ods_amount,secondary_ods_1_amount,secondary_ods_2_amount,secondary_ods_3_amount,secondary_ods_4_amount
"130","Administración general de la seguridad y protección civil.","16","5","11","16",,"203791.0","101895.5","33965.17","33965.17","33965.17","0"
"132","Seguridad y Orden Público.","16","5","11",,,"1824462.0","912231.0","456115.5","456115.5","0","0"
"133","Ordenación del tráfico y del estacionamiento","11","3","11",,,"13500.0","6750.0","3375.0","3375.0","0","0"
"134","Movilidad urbana.","11","3","9","11","11","34057.0","17028.5","4257.13","4257.13","4257.13","4257.13"
"135","Protección civil.","11","5","16",,,"34524.0","17262.0","8631.0","8631.0","0","0"
"136","Servicio de prevención y extinción de incendios.","15","11","13",,,"0","0.0","0.0","0.0","0","0"
"150","Administración General de Vivienda y urbanismo.","11","1","11",,,"60582.0","30291.0","15145.5","15145.5","0","0"
"151","Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística.","11",,,,,"561236.0","561236.0","0","0","0","0"
"152","Vivienda.","11","1",,,,"111000.0","83250.0","27750.0","0","0","0"
"153","Vías públicas.","11","9","11","11",,"574427.0","287213.5","95737.83","95737.83","95737.83","0"
"160","Alcantarillado.","6","6","9","12",,"145584.0","72792.0","24264.0","24264.0","24264.0","0"
"161","Abastecimiento domiciliario de agua potable.","6","9",,,,"2327843.84","1745882.88","581960.96","0","0","0"
"162","Recogida, gestión y tratamiento de residuos.","12","11","12",,,"1678218.0","839109.0","419554.5","419554.5","0","0"
"163","Limpieza viaria.","11","12",,,,"574380.0","430785.0","143595.0","0","0","0"
"164","Cementerio y servicios funerarios.",,,,,,"2165.0","2165.0","0","0","0","0"
"165","Alumbrado público.","7","7","9","11","11","538573.0","269286.5","67321.63","67321.63","67321.63","67321.63"
"170","Administración general del medio ambiente.","15","13","14","15",,"236674.0","118337.0","39445.67","39445.67","39445.67","0"
"171","Parques y jardines.","11","6","11","15",,"804619.0","402309.5","134103.17","134103.17","134103.17","0"
"172","Protección y mejora del medio ambiente.","15","13","14","15",,"274164.0","137082.0","45694.0","45694.0","45694.0","0"
"211","Pensiones.","1","10","10",,,"0","0.0","0.0","0.0","0","0"
"221","Otras prestaciones económicas a favor de empleados.","8","1","10","10",,"2192175.0","1096087.5","365362.5","365362.5","365362.5","0"
"231","Asistencia social primaria.","1","3","10","10",,"1663364.0","831682.0","277227.33","277227.33","277227.33","0"
"241","Fomento del Empleo.","8","8","8","10",,"498963.0","249481.5","83160.5","83160.5","83160.5","0"
"311","Protección de la salubridad pública.","3","3","3","6","12","242116.0","121058.0","30264.5","30264.5","30264.5","30264.5"
