seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
16,2,60 - 64,Mujer,Nacional,MADRID,22
44,3,50 - 54,Mujer,Nacional,MADRID,47
17,2,70 - 74,Hombre,Nacional,CIUDAD REAL,1
17,2,60 - 64,Hombre,Nacional,SORIA,1
22,2,60 - 64,Mujer,Nacional,MADRID,23
17,2,60 - 64,Mujer,Nacional,CACERES,1
17,2,55 - 59,Mujer,Nacional,AVILA,1
17,2,60 - 64,Mujer,Nacional,SALAMANCA,1
17,2,60 - 64,Hombre,Nacional,MADRID,29
17,2,60 - 64,Hombre,Extranjero,VENEZUELA,1
17,2,60 - 64,Mujer,Nacional,CIUDAD REAL,1
22,2,80 - 84,Mujer,Nacional,TOLEDO,1
17,2,75 - 79,Hombre,Nacional,BADAJOZ,1
17,2,70 - 74,Mujer,Nacional,BADAJOZ,1
22,2,70 - 74,Hombre,Nacional,MADRID,3
22,2,70 - 74,Hombre,Nacional,CIUDAD REAL,1
22,2,40 - 44,Mujer,Nacional,MADRID,17
22,2,35 - 39,Hombre,Nacional,MADRID,8
22,2,75 - 79,Hombre,Nacional,TOLEDO,1
17,2,70 - 74,Hombre,Nacional,PONTEVEDRA,1
36,3,40 - 44,Mujer,Nacional,MADRID,163
22,2,65 - 69,Hombre,Nacional,AVILA,1
31,4,50 - 54,Hombre,Nacional,MADRID,76
16,2,70 - 74,Mujer,Nacional,SEGOVIA,1
16,2,70 - 74,Mujer,Nacional,BADAJOZ,1
16,2,50 - 54,Hombre,Nacional,,9
33,3,40 - 44,Hombre,Nacional,MADRID,72
16,2,85 - 89,Mujer,Nacional,MADRID,2
16,2,60 - 64,Mujer,Nacional,BADAJOZ,1
16,2,80 - 84,Hombre,Nacional,MADRID,3
16,2,85 - 89,Hombre,Nacional,ZAMORA,1
37,3,50 - 54,Mujer,Nacional,MADRID,33
16,2,65 - 69,Mujer,Nacional,TOLEDO,1
16,2,65 - 69,Mujer,Nacional,TOLEDO,1
17,2,65 - 69,Mujer,Nacional,JAEN,1
39,3,40 - 44,Hombre,Nacional,MADRID,137
17,2,70 - 74,Hombre,Nacional,CACERES,1
16,2,70 - 74,Hombre,Nacional,,2
17,2,50 - 54,Mujer,Nacional,BADAJOZ,1
38,4,35 - 39,Mujer,Nacional,MADRID,185
35,3,35 - 39,Mujer,Nacional,MADRID,12
22,2,55 - 59,Hombre,Nacional,TOLEDO,1
7,4,75 - 79,Hombre,Nacional,MADRID,1
16,2,50 - 54,Hombre,Nacional,AVILA,1
1,3,70 - 74,Mujer,Nacional,CUENCA,1
1,3,80 - 84,Mujer,Nacional,BADAJOZ,1
1,3,70 - 74,Mujer,Nacional,CIUDAD REAL,1
36,3,75 - 79,Hombre,Nacional,JAEN,1
41,3,60 - 64,Hombre,Nacional,TOLEDO,1
1,3,50 - 54,Hombre,Nacional,MADRID,23
